source_id,doi,year,corresponding,all_authors
SCOPUS_ID:84975166193,10.1515/arcadia-2016-0006,2016,,Meazzi B.
SCOPUS_ID:84975217480,10.3917/pox.113.0171,2016,Bargel L.|UCA (affiliation),Bargel L.
SCOPUS_ID:84975251663,10.1007/s11695-016-2268-z,2016,,Amor I.B.|Iannelli A.|Petrucciani N.|Debs T.|Gugenheim J.|Sejor E.
SCOPUS_ID:84975302281,10.1136/bcr-2016-215482 1,2016,,Bolla M.M.
SCOPUS_ID:84975690974,10.1001/jama.2016.3486,2016,,Marquette C.
SCOPUS_ID:84975709520,10.1111/bju.13344,2016,,Durand M.
SCOPUS_ID:84975748718,10.1007/s13347-016-0213-7,2016,Bellagamba U.|UCA (affiliation),Bellagamba U.
SCOPUS_ID:84976272211,10.1007/s11690-016-0536-7,2016,Gugenheim J.|UCA (affiliation),Gugenheim J.
SCOPUS_ID:84976274745,10.1007/s10096-016-2697-6,2016,,Degand N.|Roger P.M.|Demonchy E.|Guillouet-de Salvador F.|Martis N.|Carles K.
SCOPUS_ID:84976288373,10.1088/0143-0807/37/4/045601,2016,,Provost J.P.
SCOPUS_ID:84976333464,10.1080/00927872.2015.1087535,2016,Dimca A.|UCA (affiliation),Dimca A.
SCOPUS_ID:84976351640,10.1145/2910019.2910029,2016,,Abid I.H.
SCOPUS_ID:84976476602,10.1109/JSAC.2016.2558978,2016,,Jacquemart Q.
SCOPUS_ID:84977091143,10.3917/rfsp.662.0321,2016,,Bargel L.
SCOPUS_ID:84977110889,10.1016/j.cognition.2016.05.024,2016,Mathy F.|UCA (affiliation),Mathy F.
SCOPUS_ID:84977155351,10.1177/0146167216651407,2016,,Radel R.
SCOPUS_ID:84977477929,10.1007/978-3-319-41754-7_7,2016,,Cabrio E.
SCOPUS_ID:84977478678,10.1108/CG-09-2015-0123,2016,,Toumi N.
SCOPUS_ID:84977507448,10.1007/978-3-319-35122-3_9,2016,,DeAntoni J.|Collet P.
SCOPUS_ID:84977554012,10.1160/TH15-12-0964,2016,Toulon P.|UCA (affiliation),Toulon P.
SCOPUS_ID:84978120412,10.1097/SHK.0000000000000665,2016,Hyvernat H.|UCA (affiliation),Hyvernat H.|Gentilhomme A.|Pradier C.|Goubaux B.|Dellamonica J.|Bernardin G.
SCOPUS_ID:84978259371,10.1007/978-3-319-27687-8_2,2016,,Ichai C.
SCOPUS_ID:84978380776,10.1111/ijlh.12499,2016,Toulon P.|UCA (affiliation),Toulon P.
SCOPUS_ID:84978381212,10.1016/j.physletb.2016.07.011,2016,Stahl C.|UCA (affiliation),Stahl C.
SCOPUS_ID:84978412205,10.1111/ijlh.12531,2016,Toulon P.|UCA (affiliation),Toulon P.
SCOPUS_ID:84978426226,10.1109/ISBI.2016.7493411,2016,,Clerc M.|Belaoucha B.|Papadopoulo T.
SCOPUS_ID:84978520100,10.1109/ICISE.2016.13,2016,,Mallet F.
SCOPUS_ID:84978645423,10.3354/meps11783,2016,,Mangialajo L.
SCOPUS_ID:84978698346,10.1097/SLA.0000000000001879,2017,,Iannelli A.
SCOPUS_ID:84978701142,10.18632/oncotarget.10005,2016,,Ambrosetti D.|Raybaud H.|Pagès G.|Benhamou Y.
SCOPUS_ID:84978710932,10.1016/j.icarus.2016.04.013,2016,,Michel P.
SCOPUS_ID:84978737364,10.1142/S0218202516500457,2016,Goudon T.|UCA (affiliation),Goudon T.
SCOPUS_ID:84978775154,10.1097/CCM.0000000000001900,2016,Contenti J.|UCA (affiliation),Contenti J.|Levraut J.
SCOPUS_ID:84978849141,10.1109/CBMI.2016.7500255,2016,,Debreuve E.|Zubiolo A.|Descombes X.|Pognonec P.
SCOPUS_ID:84978870592,10.1016/j.clnu.2016.06.022,2017,,Schneider S.M.
SCOPUS_ID:84978919894,10.1017/S1473550416000227,2016,,Meierhenrich U.
SCOPUS_ID:84979009960,10.1007/978-3-319-34129-3_44,2016,,Cabrio E.|Villata S.
