source_doi,published-online-date,published-print-date,journal-published-print-date,is-referenced-by-count,funder
10.1142/S0217732319503358,2019.0,2019.0,2019.0,5.0,Julian Schwinger Foundation for Physics Research
10.1073/pnas.1907492116,2019.0,2019.0,2019.0,32.0,"USDA | National Institute of Food and Agriculture,National Science Foundation,AEI/FEDER, UE,Ministerio de Economía y Competitividad,National Geographic Society,Marie Curie Actions IO Fellowship"
10.1038/s41598-019-50719-7,2019.0,2019.0,2019.0,5.0,"Ministerio de Economía y Competitividad,Generalitat de Catalunya,Agence Nationale de la Recherche,Centre Nationale de la Recherche Scientifique UMR 7264"
10.1021/acs.inorgchem.9b02014,2019.0,2020.0,2020.0,4.0,"Conseil R?gional Provence-Alpes-C?te d'Azur,Direction G?n?rale de l'Armement,Commissariat l?Energie Atomique"
10.1186/s40478-019-0807-2,2019.0,2019.0,2019.0,3.0,"Foundation for Medical Research,NeuroAtlantic, An Atlantic innovation platform on diagnosis and treatment of neurological diseases and aging,H2020, International Marie Curie Training Network, ENTRAIN, Neuroinflammation,European Marie Curie International Training Network “NeuroInflammation"
10.1029/2018JE005872,2019.0,2019.0,2019.0,10.0,National Natural Science Foundation of China
10.1021/acs.jmedchem.9b00584,2019.0,2020.0,2020.0,14.0,"Institut National Du Cancer,DigestScience Foundation,M?tropole Europ?enne de Lille"
10.1002/jgt.22459,2019.0,2019.0,2019.0,1.0,"Leverhulme Trust,Engineering and Physical Sciences Research Council"
10.1002/evl3.110,2019.0,2019.0,2019.0,74.0,"Agence Nationale de la Recherche,National Science Foundation,Centre National de la Recherche Scientifique,National Institutes of Health"
10.1364/OE.27.030360,2019.0,2019.0,2019.0,3.0,"Horizon 2020 Framework Programme,Agence Nationale de la Recherche"
10.1088/1361-6463/ab2aba,2019.0,2019.0,2019.0,8.0,"National Natural Science Foundation of China,China Postdoctoral Science Foundation,H2020 European Research Council,Centro de Investigaciones en Optica"
10.1111/tpj.14502,2019.0,2019.0,2019.0,22.0,China Scholarship Council
10.1038/s41550-019-0876-y,2019.0,2019.0,2019.0,6.0,National Aeronautics and Space Administration
10.1021/acs.macromol.9b00778,2019.0,2019.0,2019.0,12.0,"Shaanxi Institute of Flexible Electronics, Northwestern Polytechnical University,Government of Russian Federation"
10.1007/s40879-019-00373-0,2019.0,2020.0,2020.0,0.0,"Agence Nationale de la Recherche,Academia Româna"
